valence,year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo
0.327,2001,5.13e-4,0.399,0.999,8.47e-4,7,0.463,-1.847,1,0.107,160.123
0.7020000000000001,1981,0.49,0.595,0.407,2.67e-5,7,0.0959,-9.536,1,0.0272,127.507
0.381,1951,0.987,0.415,0.325,0.00458,3,0.0934,-15.232,0,0.101,133.709
0.285,2016,0.995,0.321,0.00713,0.924,7,0.0995,-29.271,1,0.062,69.32600000000001
0.4920000000000001,1941,0.802,0.402,0.38,0.698,3,0.192,-12.655,1,0.0338,158.642
0.687,2001,0.00780999999999999,0.727,0.605,0.83,10,0.224,-8.302999999999999,0,0.0711,181.539
0.873,1951,0.807,0.5710000000000001,0.262,0.00168,2,0.224,-22.452,0,0.05,110.561
0.486,1936,0.976,0.7020000000000001,0.222,5.59e-4,9,0.0917,-14.151,1,0.105,112.544
0.741,1982,0.189,0.6940000000000001,0.7829999999999999,0,1,0.111,-10.188,1,0.111,106.69
0.315,1962,0.92,0.302,0.28300000000000003,0.00208,8,0.254,-14.98,1,0.0392,115.805
0.0999,1954,0.923,0.122,0.0543,0.846,6,0.155,-21.424,1,0.0418,172.954
0.74,2010,0.34,0.857,0.841,0,11,0.161,-2.839,1,0.103,112.023
0.595,1966,0.846,0.4920000000000001,0.369,7.47e-5,9,0.171,-13.108,1,0.0319,110.986
0.419,1931,0.789,0.685,0.141,0,4,0.217,-18.187,1,0.961,84.92200000000003
0.462,2018,0.0198,0.524,0.579,3.41e-6,9,0.103,-6.939,1,0.0521,76.991
0.293,1984,0.0549,0.234,0.925,0.0982,0,0.91,-8.347000000000001,1,0.14400000000000002,178.975
0.105,1957,0.815,0.453,0.113,0.00715,8,0.204,-19.357,0,0.039,140.52200000000002
0.635,1940,0.995,0.36,0.262,0.7040000000000001,0,0.111,-15.812,0,0.0459,114.732
0.262,2002,3.08e-5,0.435,0.983,0.0875,8,0.0576,-4.937,1,0.147,129.905
0.209,1964,0.98,0.277,0.0762,6.05e-4,9,0.11,-19.369,0,0.0518,85.21
0.852,1958,0.691,0.6709999999999999,0.542,0.0024,5,0.215,-9.164,1,0.0293,128.514
0.355,2017,0.00778,0.5760000000000001,0.782,0,6,0.285,-4.825,0,0.0296,141.153
0.324,1958,0.883,0.52,0.12,2.77e-6,5,0.124,-16.407,1,0.0687,66.808
0.462,1954,0.8420000000000001,0.401,0.373,0,5,0.463,-16.524,1,0.5579999999999999,166.47799999999995
0.746,1974,0.0196,0.618,0.691,4.18e-4,2,0.0422,-9.063,1,0.0316,114.619
0.807,1933,0.965,0.635,0.382,0.00909,9,0.109,-8.595,0,0.0562,165.465
0.0364,1946,0.989,0.228,0.147,1.1e-4,3,0.0863,-17.939,1,0.046,84.462
0.541,1952,0.995,0.61,0.0951,0.00101,1,0.274,-10.933,1,0.338,105.317
0.883,1983,0.0988,0.815,0.718,8.65e-5,9,0.031,-11.287,0,0.0482,108.719
0.376,1949,0.919,0.304,0.338,8.590000000000001e-5,10,0.246,-13.958,0,0.0363,83.15100000000002
0.789,1965,0.534,0.39,0.655,3.4e-6,8,0.165,-6.846,1,0.0365,147.541
0.295,1956,0.823,0.575,0.202,2.48e-6,5,0.0938,-10.16,1,0.0366,105.353
0.3720000000000001,1957,0.98,0.4320000000000001,0.0768,4.49e-4,0,0.15,-18.805,1,0.0434,102.987
0.0951,2017,0.102,0.259,0.4370000000000001,1.32e-6,11,0.106,-6.589,0,0.0386,180.042
0.73,2004,0.00446,0.654,0.901,4.68e-6,1,0.057,-6.401,1,0.0477,138.879
0.672,1963,0.627,0.659,0.66,2.17e-4,0,0.136,-8.337,1,0.0441,116.634
